Date,Packdiff
17.12.2021 11:31:26,477
17.12.2021 11:31:27,477
17.12.2021 11:31:28,1678
17.12.2021 11:31:29,1678
17.12.2021 11:31:30,1678
17.12.2021 11:31:31,477
17.12.2021 11:31:32,477
17.12.2021 11:31:33,477
17.12.2021 11:31:34,477
17.12.2021 11:31:35,477
17.12.2021 11:31:37,477
17.12.2021 11:31:38,477
17.12.2021 11:31:39,477
17.12.2021 11:31:40,318
17.12.2021 11:31:41,318
17.12.2021 11:31:42,318
17.12.2021 11:31:43,477
17.12.2021 11:31:44,477
17.12.2021 11:31:45,477
17.12.2021 11:31:47,477
17.12.2021 11:31:48,477
17.12.2021 11:31:49,318
17.12.2021 11:31:50,318
17.12.2021 11:31:51,318
17.12.2021 11:31:52,477
17.12.2021 11:31:53,477
17.12.2021 11:31:54,477
17.12.2021 11:31:55,477
17.12.2021 11:31:57,477
17.12.2021 11:31:58,477
17.12.2021 11:31:59,477
17.12.2021 11:32:00,477
17.12.2021 11:32:01,318
17.12.2021 11:32:02,318
17.12.2021 11:32:03,318
17.12.2021 11:32:04,477
17.12.2021 11:32:05,477
17.12.2021 11:32:06,477
17.12.2021 11:32:07,477
17.12.2021 11:32:09,477
17.12.2021 11:32:10,477
17.12.2021 11:32:11,477
17.12.2021 11:32:12,477
17.12.2021 11:32:13,318
17.12.2021 11:32:14,318
17.12.2021 11:32:15,318
17.12.2021 11:32:16,477
17.12.2021 11:32:17,477
17.12.2021 11:32:18,477
17.12.2021 11:32:19,477
17.12.2021 11:32:21,477
17.12.2021 11:32:22,477
17.12.2021 11:32:23,477
17.12.2021 11:32:24,477
17.12.2021 11:32:25,318
17.12.2021 11:32:26,318
17.12.2021 11:32:27,318
17.12.2021 11:32:28,477
17.12.2021 11:32:29,477
17.12.2021 11:32:30,477
